timestamp,aqi,o3,so2,no2,co,pm25,pm10
2022-01-14T00:00:00,28,59.7,7,5.7,71.6,5,9.3
2022-01-13T23:00:00,33,70.3,7,4.3,75.5,4,7.7
2022-01-13T22:00:00,37,81,7,3,79.4,3,6
2022-01-13T21:00:00,40,87.3,8.3,2.7,85.6,4,6.7
2022-01-13T20:00:00,43,93.7,9.7,2.3,91.8,5,7.3
2022-01-13T19:00:00,46,100,11,2,98,6,8
2022-01-13T18:00:00,47,102.7,10.3,2,100.6,5.67,7.7
2022-01-13T17:00:00,49,105.3,9.7,2,103.1,5.33,7.3
2022-01-13T16:00:00,50,108,9,2,105.6,5,7
2022-01-13T15:00:00,46,99,10.3,2,97.7,10,13.3
2022-01-13T14:00:00,56,90,11.7,2,89.7,15,19.7
2022-01-13T13:00:00,67,81,13,2,81.7,20,26
2022-01-13T12:00:00,66,80.7,13,2,79.4,19.33,25.3
2022-01-13T11:00:00,64,80.3,13,2,77,18.67,24.7
2022-01-13T10:00:00,63,80,13,2,74.7,18,24
2022-01-13T09:00:00,61,81,13.7,2,72.9,17,22.7
2022-01-13T08:00:00,59,82,14.3,2,71.2,16,21.3
2022-01-13T07:00:00,56,83,15,2,69.4,15,20
2022-01-13T06:00:00,54,82.7,14.7,2,67.5,14,18.7
2022-01-13T05:00:00,52,82.3,14.3,2,65.6,13,17.3
2022-01-13T04:00:00,50,82,14,2,63.6,12,16
2022-01-13T03:00:00,44,81,14.7,2,63,10.67,14.3
2022-01-13T02:00:00,39,80,15.3,2,62.4,9.33,12.7
2022-01-13T01:00:00,37,79,16,2,61.9,8,11
2022-01-13T00:00:00,36,78.3,15.3,2,61.7,7.33,10.3
2022-01-15T00:00:00,26,55.3,9.3,2.3,56.2,3,5
2022-01-14T23:00:00,25,54.7,9.7,2.7,56.4,3,5
2022-01-14T22:00:00,25,54,10,3,56.6,3,5
2022-01-14T21:00:00,25,53.7,9.7,3.3,56.2,3,5
2022-01-14T20:00:00,25,53.3,9.3,3.7,55.8,3,5
2022-01-14T19:00:00,25,53,9,4,55.4,3,5
2022-01-14T18:00:00,25,53.7,8.7,4,54.9,3.33,5.7
2022-01-14T17:00:00,25,54.3,8.3,4,54.3,3.67,6.3
2022-01-14T16:00:00,25,55,8,4,53.7,4,7
2022-01-14T15:00:00,25,55,8,3.7,53.7,5,8.7
2022-01-14T14:00:00,25,55,8,3.3,53.7,6,10.3
2022-01-14T13:00:00,29,55,8,3,53.7,7,12
2022-01-14T12:00:00,31,55,7.7,3.3,53.3,7.33,13.3
2022-01-14T11:00:00,32,55,7.3,3.7,52.9,7.67,14.7
2022-01-14T10:00:00,33,55,7,4,52.5,8,16
2022-01-14T09:00:00,35,55,7,4,52.9,8.33,16.3
2022-01-14T08:00:00,36,55,7,4,53.3,8.67,16.7
2022-01-14T07:00:00,37,55,7,4,53.7,9,17
2022-01-14T06:00:00,33,51.7,7,4.7,56.2,8,15.3
2022-01-14T05:00:00,29,48.3,7,5.3,58.7,7,13.7
2022-01-14T04:00:00,25,45,7,6,61.3,6,12
2022-01-14T03:00:00,25,46.3,7,6.3,63.4,6,11.7
2022-01-14T02:00:00,25,47.7,7,6.7,65.6,6,11.3
2022-01-14T01:00:00,25,49,7,7,67.7,6,11
2022-01-14T00:00:00,28,59.7,7,5.7,71.6,5,9.3
2022-01-16T00:00:00,51,63.3,9,1.3,50.8,12.67,21.7
2022-01-15T23:00:00,51,62.7,10,1.7,50.8,12.33,21.3
2022-01-15T22:00:00,50,62,11,2,50.8,12,21
2022-01-15T21:00:00,50,62.3,12.3,2.3,50.6,12,20.7
2022-01-15T20:00:00,50,62.7,13.7,2.7,50.4,12,20.3
2022-01-15T19:00:00,50,63,15,3,50.2,12,20
2022-01-15T18:00:00,44,66.7,14.3,2.3,51.2,10.67,17.3
2022-01-15T17:00:00,39,70.3,13.7,1.7,52.1,9.33,14.7
2022-01-15T16:00:00,34,74,13,1,53.1,8,12
2022-01-15T15:00:00,34,72.7,12.7,1,58.7,7,11
2022-01-15T14:00:00,33,71.3,12.3,1,64.4,6,10
2022-01-15T13:00:00,32,70,12,1,70,5,9
2022-01-15T12:00:00,30,64.7,11.3,1.3,69.1,5.33,9.7
2022-01-15T11:00:00,27,59.3,10.7,1.7,68.1,5.67,10.3
2022-01-15T10:00:00,25,54,10,2,67.1,6,11
2022-01-15T09:00:00,25,52.7,9.7,2.3,65.4,6,10.7
2022-01-15T08:00:00,25,51.3,9.3,2.7,63.6,6,10.3
2022-01-15T07:00:00,25,50,9,3,61.9,6,10
2022-01-15T06:00:00,24,50.3,9.7,3,60.5,5.67,9.3
2022-01-15T05:00:00,23,50.7,10.3,3,59.1,5.33,8.7
2022-01-15T04:00:00,24,51,11,3,57.8,5,8
2022-01-15T03:00:00,24,52.7,10.3,2.7,57.2,4.33,7
2022-01-15T02:00:00,25,54.3,9.7,2.3,56.6,3.67,6
2022-01-15T01:00:00,26,56,9,2,56,3,5
2022-01-15T00:00:00,26,55.3,9.3,2.3,56.2,3,5
2022-01-17T00:00:00,46,67,14,1,50,11,16.3
2022-01-16T23:00:00,46,67,13,1,49.8,11,16.7
2022-01-16T22:00:00,46,67,12,1,49.6,11,17
2022-01-16T21:00:00,46,67,11,1,49.4,11,17.3
2022-01-16T20:00:00,46,67,10,1,49.2,11,17.7
2022-01-16T19:00:00,46,67,9,1,49,11,18
2022-01-16T18:00:00,47,67,8.3,1,49,11.33,18.3
2022-01-16T17:00:00,49,67,7.7,1,49,11.67,18.7
2022-01-16T16:00:00,50,67,7,1,49,12,19
2022-01-16T15:00:00,50,66.7,6.7,1,49,12,19
2022-01-16T14:00:00,50,66.3,6.3,1,49,12,19
2022-01-16T13:00:00,50,66,6,1,49,12,19
2022-01-16T12:00:00,51,65.3,6.7,1,49.2,12.33,20.3
2022-01-16T11:00:00,51,64.7,7.3,1,49.4,12.67,21.7
2022-01-16T10:00:00,52,64,8,1,49.6,13,23
2022-01-16T09:00:00,54,64.3,7.7,1,49.6,13.67,23.7
2022-01-16T08:00:00,55,64.7,7.3,1,49.6,14.33,24.3
2022-01-16T07:00:00,56,65,7,1,49.6,15,25
2022-01-16T06:00:00,58,65,7,1,49.6,15.67,26.3
2022-01-16T05:00:00,59,65,7,1,49.6,16.33,27.7
2022-01-16T04:00:00,61,65,7,1,49.6,17,29
2022-01-16T03:00:00,58,64.7,7.3,1,50,15.67,26.7
2022-01-16T02:00:00,55,64.3,7.7,1,50.4,14.33,24.3
